depth,density,young_modulus,poissons_ratio,porosity
1.8599999999999999,1948.9782089087005,186417314.57314354,0.29946808510638295,0.1493553889129075
3.7399999999999998,1966.838481334537,219346907.405653,0.48255319148936154,0.16061956880996991
5.659000000000001,1990.1855227301153,267999532.60696536,0.4949999999999999,0.17038578929782527
7.518000000000001,2036.6491978609495,343707654.4484518,0.4949999999999999,0.189410374463738
9.375,2072.4533849021923,429993661.9603305,0.4949999999999999,0.20369583488964477
11.229999999999999,2013.877691061451,342880942.1749064,0.4949999999999999,0.18050846349823982
13.081999999999999,1992.2129990549709,408130951.43688244,0.4949999999999999,0.16852670630872932
14.93,1895.7628394025928,314232736.17167056,0.4949999999999999,0.12697721739810267
16.774,1945.3189658202923,349079596.7396509,0.4949999999999999,0.15030771594953593
18.612000000000002,2065.2826281260004,583023373.6062704,0.4949999999999999,0.19934514716714144
